,manufactured,brand,variant,owner,fuel,type,kms,price,city
32,2017,Ford,Ford New Figo,1st Owner,Petrol,Manual,3430,472999,New Delhi
33,2011,Hyundai,Hyundai i10,1st Owner,CNG,Manual,100788,253999,New Delhi
34,2016,Hyundai,Hyundai Creta,1st Owner,Diesel,Manual,199598,716199,New Delhi
35,2016,Hyundai,Hyundai Creta,1st Owner,Diesel,Manual,53957,894399,New Delhi
36,2016,Hyundai,Hyundai Creta,1st Owner,Diesel,Manual,78878,827899,New Delhi
37,2015,Hyundai,Hyundai Elite i20,1st Owner,Petrol,Manual,70006,508499,New Delhi
38,2016,Hyundai,Hyundai Creta,1st Owner,Diesel,Manual,55835,975699,New Delhi
39,2017,Datsun,Datsun Redi Go,2nd Owner,Petrol,Manual,20977,260999,New Delhi
40,2017,Hyundai,Hyundai Creta,1st Owner,Diesel,Manual,19885,840299,New Delhi
41,2019,Hyundai,Hyundai Venue,1st Owner,Petrol,Manual,31118,926199,New Delhi
42,2014,Ford,Ford Ecosport,1st Owner,Diesel,Manual,59504,516899,New Delhi
43,2017,Maruti,Maruti Dzire,1st Owner,Diesel,Manual,56502,573399,New Delhi
44,2017,Maruti,Maruti Dzire,1st Owner,Diesel,Manual,91724,574799,New Delhi
45,2014,Hyundai,Hyundai Elite i20,1st Owner,Diesel,Manual,72861,537899,New Delhi
46,2015,Maruti,Maruti S Cross,1st Owner,Diesel,Manual,95369,469799,New Delhi
47,2014,Audi,Audi Q3,1st Owner,Diesel,Manual,66027,1383199,New Delhi
48,2020,Toyota,Toyota Glanza,1st Owner,Petrol,Manual,13720,718799,New Delhi
49,2015,Hyundai,Hyundai Creta,1st Owner,Diesel,Manual,58003,841999,New Delhi
50,2015,Maruti,Maruti S Cross,1st Owner,Diesel,Manual,94544,532899,New Delhi
51,2014,Ford,Ford Ecosport,1st Owner,Diesel,Manual,127254,421699,New Delhi
52,2014,Ford,Ford Ecosport,1st Owner,Diesel,Manual,102117,449799,New Delhi
53,2014,Ford,Ford Ecosport,1st Owner,Diesel,Manual,66779,504999,New Delhi
54,2015,Hyundai,Hyundai Creta,1st Owner,Diesel,Manual,117683,793899,New Delhi
55,2016,Hyundai,Hyundai Elite i20,2nd Owner,Petrol,Manual,41533,508999,New Delhi
56,2017,Tata,Tata Tiago,1st Owner,Petrol,Manual,14031,446099,New Delhi
57,2016,Maruti,Maruti Baleno,2nd Owner,Petrol,Manual,32766,549499,New Delhi
58,2014,Hyundai,Hyundai Elite i20,1st Owner,Diesel,Manual,37833,492099,New Delhi
59,2015,Hyundai,Hyundai Elite i20,2nd Owner,Diesel,Manual,66762,471199,New Delhi
60,2016,Maruti,Maruti Baleno,1st Owner,Diesel,Manual,67332,574799,New Delhi
61,2016,Maruti,Maruti Baleno,1st Owner,Diesel,Manual,71530,568199,New Delhi
62,2014,Hyundai,Hyundai Elite i20,1st Owner,Diesel,Manual,169197,506799,New Delhi
63,2013,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,43986,402799,New Delhi
64,2020,MG,MG Hector,1st Owner,Petrol,Manual,7284,1783499,New Delhi
65,2018,Maruti,Maruti Dzire,1st Owner,Petrol,Manual,42575,605499,New Delhi
66,2016,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,57606,555699,New Delhi
67,2016,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,44604,559799,New Delhi
68,2018,Maruti,Maruti Dzire,1st Owner,Petrol,Manual,9838,571699,New Delhi
69,2014,Toyota,Toyota Innova,1st Owner,Diesel,Manual,69958,1097599,New Delhi
70,2016,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,82529,512499,New Delhi
71,2020,Ford,Ford New Figo,1st Owner,Petrol,Manual,3210,562899,New Delhi
72,2014,Ford,Ford Ecosport,2nd Owner,Diesel,Manual,50683,449599,New Delhi
73,2014,Maruti,Maruti Ciaz,1st Owner,Diesel,Manual,62366,532099,New Delhi
74,2017,Maruti,Maruti Dzire,2nd Owner,Diesel,Automatic,34349,620099,New Delhi
75,2018,Maruti,Maruti Dzire,1st Owner,Diesel,Manual,29735,638899,New Delhi
76,2016,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,101529,624799,New Delhi
77,2013,Toyota,Toyota Fortuner,1st Owner,Diesel,Manual,76953,1282999,New Delhi
78,2016,Maruti,Maruti Baleno,1st Owner,Diesel,Manual,63363,554199,New Delhi
79,2014,Honda,Honda Amaze,1st Owner,Diesel,Manual,70640,334399,New Delhi
80,2014,Hyundai,Hyundai Elite i20,1st Owner,Diesel,Manual,57615,437699,New Delhi
81,2013,Maruti,Maruti Ertiga,1st Owner,Diesel,Manual,112745,492599,New Delhi
82,2016,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,59773,657899,New Delhi
83,2016,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,30116,646799,New Delhi
84,2014,Maruti,Maruti Ciaz,1st Owner,Diesel,Manual,113158,517599,New Delhi
85,2016,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,92569,665499,New Delhi
86,2015,Hyundai,Hyundai Elite i20,3rd Owner,Diesel,Manual,141314,517399,New Delhi
87,2017,Honda,Honda WR-V,2nd Owner,Petrol,Manual,26693,726099,New Delhi
88,2013,Toyota,Toyota Fortuner,1st Owner,Diesel,Automatic,74189,1215399,New Delhi
