,manufactured,brand,variant,owner,fuel,type,kms,price,city
669,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,82987,331099,Noida
670,2019,Renault,Renault Kwid,2nd Owner,Petrol,Manual,17515,344499,Noida
671,2019,Ford,Ford Ecosport,1st Owner,Petrol,Manual,14623,911999,Noida
672,2011,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,25086,250499,Noida
673,2018,Toyota,Toyota Corolla Altis,1st Owner,Petrol,Automatic,53593,1491399,Noida
674,2019,Ford,Ford Ecosport,1st Owner,Petrol,Manual,24435,860699,Noida
675,2017,Hyundai,Hyundai Elite i20,2nd Owner,Diesel,Manual,83787,636999,Noida
676,2015,Toyota,Toyota Etios,1st Owner,Diesel,Manual,77530,502399,Noida
677,2017,Ford,Ford Ecosport,1st Owner,Diesel,Manual,60954,729799,Noida
678,2014,Hyundai,Hyundai Verna,2nd Owner,Diesel,Automatic,98693,504699,Noida
679,2017,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,78568,428099,Noida
680,2020,Maruti,Maruti S PRESSO,1st Owner,Petrol,Manual,4170,435999,Noida
681,2012,Volkswagen,Volkswagen Polo,1st Owner,Petrol,Manual,126101,371099,Noida
682,2018,Ford,Ford Ecosport,2nd Owner,Diesel,Manual,46082,783999,Noida
683,2019,Ford,Ford Ecosport,1st Owner,Diesel,Manual,53457,758699,Noida
684,2019,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,15604,592499,Noida
685,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,30252,344499,Noida
686,2018,Ford,Ford Ecosport,1st Owner,Diesel,Manual,52521,853199,Noida
687,2018,Maruti,Maruti Vitara Brezza,2nd Owner,Diesel,Manual,83300,716799,Noida
688,2019,Hyundai,Hyundai Creta,3rd Owner,Petrol,Automatic,14976,1256399,Noida
689,2010,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,40666,198199,Noida
690,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,64350,444799,Noida
691,2018,Renault,Renault Kwid,1st Owner,Petrol,Automatic,67850,343099,Noida
692,2018,Hyundai,Hyundai Creta,3rd Owner,Diesel,Manual,29854,1235999,Noida
693,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,50742,710299,Noida
694,2017,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,41963,608899,Noida
695,2017,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,20990,564899,Noida
696,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,60395,688699,Noida
697,2018,Renault,Renault Kwid,1st Owner,Petrol,Manual,18277,325399,Noida
698,2019,Maruti,Maruti Alto,1st Owner,Petrol,Manual,13299,388699,Noida
699,2015,Hyundai,Hyundai Grand i10,1st Owner,Diesel,Manual,86636,381999,Noida
700,2016,Ford,Ford Ecosport,1st Owner,Diesel,Manual,88979,621999,Noida
701,2018,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,75073,578799,Noida
702,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,70981,334999,Noida
703,2016,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,106165,301799,Noida
704,2019,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,20099,326699,Noida
705,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,16787,353899,Noida
706,2018,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,55724,460899,Noida
707,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,68749,347499,Noida
708,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,20322,353899,Noida
709,2018,Maruti,Maruti Swift,2nd Owner,Petrol,Automatic,32089,629799,Noida
710,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,71192,701699,Noida
711,2014,Maruti,Maruti Swift Dzire,2nd Owner,Diesel,Manual,118729,334899,Noida
712,2017,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,49387,619899,Noida
713,2015,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,63396,364999,Noida
714,2016,Ford,Ford Ecosport,1st Owner,Diesel,Manual,90171,631899,Noida
715,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,82519,366799,Noida
716,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,82601,681399,Noida
717,2019,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,14237,629899,Noida
718,2015,Mahindra,Mahindra XUV500,2nd Owner,Diesel,Manual,114885,896399,Noida
719,2017,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,44688,453399,Noida
720,2014,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,56467,367099,Noida
721,2019,Maruti,Maruti Baleno,2nd Owner,Petrol,Automatic,34079,710599,Noida
722,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,33968,794899,Noida
723,2016,Maruti,Maruti Swift Dzire,2nd Owner,Diesel,Manual,58123,527699,Noida
724,2020,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,3514,690699,Noida
725,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,13458,344499,Noida
726,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,20810,344499,Noida
727,2013,Hyundai,Hyundai i20,1st Owner,Diesel,Manual,32431,345299,Noida
728,2017,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,54041,283699,Noida
729,2020,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,7391,695499,Noida
730,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Automatic,32662,910599,Noida
731,2016,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,158642,457899,Noida
732,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,49708,786599,Noida
733,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,25398,809899,Noida
734,2012,Maruti,Maruti Swift,2nd Owner,Diesel,Manual,120326,306599,Noida
735,2017,Hyundai,Hyundai Grand i10,2nd Owner,Diesel,Manual,42631,461699,Noida
736,2015,Honda,Honda Amaze,1st Owner,Petrol,Manual,28309,516099,Noida
737,2015,BMW,BMW 5 Series,2nd Owner,Diesel,Automatic,80744,1886699,Noida
738,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,87567,332399,Noida
739,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Automatic,28144,1051799,Noida
740,2013,Toyota,Toyota Etios Liva,1st Owner,Diesel,Manual,97829,357899,Noida
741,2018,Maruti,Maruti Celerio,1st Owner,Petrol,Manual,27816,524399,Noida
742,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,68276,395899,Noida
743,2013,Maruti,Maruti Swift Dzire,2nd Owner,Diesel,Manual,49944,328299,Noida
744,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,75243,778199,Noida
745,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,26505,736099,Noida
746,2012,Maruti,Maruti Swift,2nd Owner,Diesel,Manual,68206,369999,Noida
747,2016,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,69989,447599,Noida
748,2015,Maruti,Maruti Swift Dzire,1st Owner,Petrol,Manual,23258,523999,Noida
749,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,36807,771899,Noida
750,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,67670,333799,Noida
751,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,52300,787899,Noida
752,2018,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,33108,456899,Noida
753,2017,Maruti,Maruti Swift,1st Owner,Diesel,Manual,46220,548099,Noida
754,2019,Maruti,Maruti Baleno,2nd Owner,Petrol,Automatic,6671,830199,Noida
755,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,18028,816899,Noida
756,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,20713,792399,Noida
757,2014,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,5027,334799,Noida
758,2020,Maruti,Maruti Alto,1st Owner,Petrol,Manual,7949,321199,Noida
759,2015,Honda,Honda Amaze,1st Owner,Diesel,Manual,96713,404099,Noida
760,2015,Hyundai,Hyundai i10,1st Owner,Petrol,Manual,40102,365399,Noida
761,2020,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Automatic,17465,1037399,Noida
762,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,27455,844899,Noida
763,2014,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,87119,394099,Noida
764,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,31245,854199,Noida
765,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,37696,841299,Noida
766,2012,Maruti,Maruti Swift,1st Owner,Petrol,Manual,41244,355899,Noida
767,2015,Maruti,Maruti Swift Dzire,1st Owner,Petrol,Manual,13358,508999,Noida
768,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,60546,379599,Noida
769,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,112335,340399,Noida
770,2018,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,27853,433999,Noida
771,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,74447,368199,Noida
772,2014,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,76013,382199,Noida
773,2017,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,28190,425199,Noida
774,2015,Honda,Honda Amaze,1st Owner,Petrol,Manual,65067,410899,Noida
775,2019,Tata,Tata Tiago,1st Owner,Petrol,Manual,5388,503399,Noida
776,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,24487,483099,Noida
777,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,56076,887799,Noida
778,2015,Hyundai,Hyundai Eon,1st Owner,Petrol,Manual,58809,300599,Noida
779,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,79144,372699,Noida
780,2015,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,56401,288699,Noida
781,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,34227,471599,Noida
782,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,120060,322399,Noida
783,2018,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,16729,484299,Noida
784,2015,Maruti,Maruti Swift,1st Owner,Petrol,Manual,63344,417299,Noida
785,2012,Maruti,Maruti Swift,1st Owner,Diesel,Manual,38061,360099,Noida
786,2015,Maruti,Maruti Swift,2nd Owner,Diesel,Manual,61499,414399,Noida
787,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,77409,391299,Noida
788,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,58990,358599,Noida
789,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,76264,404599,Noida
790,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,35933,507699,Noida
791,2017,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,63567,294299,Noida
792,2015,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,50862,501199,Noida
793,2015,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,51040,394499,Noida
794,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,64370,402699,Noida
795,2015,Maruti,Maruti Swift Dzire,1st Owner,Petrol,Manual,53442,454599,Noida
796,2014,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,88835,397099,Noida
797,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,38015,382899,Noida
798,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,40547,372199,Noida
799,2014,Maruti,Maruti Swift,2nd Owner,Diesel,Manual,64514,425199,Noida
800,2014,Honda,Honda Brio,2nd Owner,Petrol,Manual,45910,344799,Noida
801,2018,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,13375,434799,Noida
802,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,112703,714599,Noida
803,2015,Maruti,Maruti Swift Dzire,1st Owner,Petrol,Manual,57022,507899,Noida
804,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,44122,384899,Noida
805,2017,Hyundai,Hyundai Eon,1st Owner,Petrol,Manual,23479,330799,Noida
806,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,46949,376599,Noida
807,2015,Hyundai,Hyundai Eon,2nd Owner,Petrol,Manual,48036,295499,Noida
808,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,16502,484599,Noida
809,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,122416,340999,Noida
810,2012,Maruti,Maruti Swift,1st Owner,Petrol,Manual,79744,402999,Noida
811,2014,Volkswagen,Volkswagen Vento,1st Owner,Diesel,Manual,41389,441999,Noida
812,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,68404,406999,Noida
813,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,23673,400899,Noida
814,2016,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,47929,282799,Noida
815,2012,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,68930,329599,Noida
816,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,49032,374999,Noida
817,2017,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,26891,437099,Noida
818,2015,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,30696,529899,Noida
819,2015,Maruti,Maruti Alto 800,2nd Owner,Petrol,Manual,51434,263199,Noida
820,2017,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,42628,299199,Noida
821,2014,Maruti,Maruti Swift,1st Owner,Petrol,Manual,62658,432699,Noida
822,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,17829,495599,Noida
823,2018,Maruti,Maruti Wagon R 1.0,2nd Owner,Petrol,Automatic,12965,458799,Noida
824,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,24652,407699,Noida
825,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,167528,365299,Noida
826,2013,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,69373,363899,Noida
827,2018,Maruti,Maruti Wagon R 1.0,2nd Owner,Petrol,Manual,18807,469299,Noida
828,2015,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,76778,453699,Noida
829,2016,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,50355,294599,Noida
830,2014,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,53938,447899,Noida
831,2012,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,87025,338299,Noida
832,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,6054,390099,Noida
833,2012,Maruti,Maruti Swift Dzire,2nd Owner,Diesel,Manual,110592,342299,Noida
834,2017,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,40409,293499,Noida
835,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,24778,540799,Noida
836,2014,Maruti,Maruti Swift,2nd Owner,Diesel,Manual,82367,379999,Noida
837,2012,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,77730,355499,Noida
838,2014,Maruti,Maruti Swift,2nd Owner,Petrol,Manual,17135,429599,Noida
839,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,18875,412899,Noida
840,2015,Maruti,Maruti Wagon R 1.0,2nd Owner,Petrol,Manual,23699,362199,Noida
841,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,54884,402799,Noida
842,2018,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,33946,303699,Noida
843,2013,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,76795,369899,Noida
844,2012,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,49310,357499,Noida
845,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,41525,441999,Noida
846,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,41996,403999,Noida
847,2013,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,66341,383099,Noida
848,2013,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,74644,396499,Noida
849,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,54628,429999,Noida
850,2013,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,83414,353999,Noida
851,2012,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,54918,391799,Noida
852,2018,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,16864,555099,Noida
853,2015,Maruti,Maruti Swift,1st Owner,Petrol,Manual,46478,443899,Noida
854,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,53260,454699,Noida
855,2014,Maruti,Maruti Swift,2nd Owner,Diesel,Manual,49216,447599,Noida
856,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,38070,423599,Noida
857,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,91903,385099,Noida
858,2015,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,107296,439499,Noida
859,2016,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,35756,478699,Noida
860,2014,Maruti,Maruti Swift,2nd Owner,Petrol,Manual,14734,449799,Noida
861,2016,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,19902,489999,Noida
862,2017,Maruti,Maruti Alto 800,2nd Owner,Petrol,Manual,27919,299199,Noida
863,2012,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,47838,407399,Noida
864,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,102773,384599,Noida
865,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,91610,456999,Noida
866,2012,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,114510,334599,Noida
867,2017,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,29190,299199,Noida
868,2015,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,43393,265999,Noida
869,2015,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,11964,407499,Noida
870,2012,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,126803,352999,Noida
871,2014,Maruti,Maruti Ritz,1st Owner,Diesel,Manual,42295,338899,Noida
872,2014,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,96978,456699,Noida
873,2017,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,28704,335299,Noida
874,2013,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,137452,371099,Noida
875,2015,Maruti,Maruti Swift,1st Owner,Petrol,Manual,45371,470999,Noida
876,2018,Maruti,Maruti Alto 800,2nd Owner,Petrol,Manual,4465,303699,Noida
877,2015,Maruti,Maruti Ritz,1st Owner,Diesel,Manual,76854,434099,Noida
878,2017,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,21776,299199,Noida
879,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,122972,387899,Noida
880,2014,Maruti,Maruti Swift,1st Owner,Petrol,Manual,93890,403899,Noida
881,2019,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,32787,405699,Noida
882,2015,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,39779,427099,Noida
883,2018,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,20410,295599,Noida
884,2017,Maruti,Maruti Alto 800,2nd Owner,Petrol,Manual,19146,299199,Noida
885,2014,Maruti,Maruti Alto 800,2nd Owner,Petrol,Manual,38526,281099,Noida
886,2014,Maruti,Maruti Swift,1st Owner,Petrol,Manual,92380,407699,Noida
887,2016,Maruti,Maruti Swift,1st Owner,Diesel,Manual,106080,470599,Noida
888,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,106657,421199,Noida
889,2017,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,31740,366899,Noida
890,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,107030,390599,Noida
891,2016,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,25638,306699,Noida
892,2014,Maruti,Maruti Swift,1st Owner,Petrol,Manual,26679,459199,Noida
893,2018,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,11064,295599,Noida
894,2018,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,6909,295599,Noida
895,2018,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,10049,295599,Noida
896,2017,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,8841,324299,Noida
897,2015,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,21496,437299,Noida
898,2015,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,13223,462199,Noida
899,2013,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,16372,265099,Noida
900,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,112006,418499,Noida
901,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,126169,423799,Noida
902,2018,Maruti,Maruti Alto K10,2nd Owner,Petrol,Manual,27027,392299,Noida
903,2019,Maruti,Maruti Alto K10,2nd Owner,Petrol,Manual,13600,399499,Noida
904,2019,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,16902,410199,Noida
905,2017,Maruti,Maruti Alto K10,2nd Owner,Petrol,Manual,12221,355999,Noida
906,2017,Maruti,Maruti Swift,1st Owner,Petrol,Manual,58273,417799,Noida
907,2017,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,17840,388899,Noida
908,2018,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,3675,409999,Noida
909,2018,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,5490,409799,Noida
910,2019,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,6999,422799,Noida
911,2017,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,41506,299199,Noida
912,2020,Hyundai,Hyundai GRAND I10 NIOS,1st Owner,Petrol,Manual,3907,637999,Noida
913,2009,Toyota,Toyota Corolla Altis,2nd Owner,Petrol,Manual,145640,186971,Noida
914,2015,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,34522,414399,Noida
915,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,56552,452899,Noida
916,2011,Hyundai,Hyundai i20,1st Owner,Petrol,Manual,44007,258999,Noida
917,2011,Hyundai,Hyundai i10,1st Owner,Petrol,Manual,55623,188799,Noida
918,2016,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,26951,415399,Noida
919,2011,Toyota,Toyota Etios,1st Owner,Petrol,Manual,84584,311199,Noida
920,2009,Maruti,Maruti Alto,1st Owner,Petrol,Manual,119227,126399,Noida
921,2015,Hyundai,Hyundai Grand i10,2nd Owner,Diesel,Manual,62491,304099,Noida
922,2016,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,32669,305199,Noida
923,2016,Renault,Renault Kwid,1st Owner,Petrol,Manual,49248,239399,Noida
924,2013,Hyundai,Hyundai Eon,1st Owner,Petrol,Manual,106269,193699,Noida
925,2017,Maruti,Maruti Swift,1st Owner,Petrol,Manual,25227,449699,Noida
926,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,96428,390999,Noida
927,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,29449,361199,Noida
928,2016,Maruti,Maruti Ciaz,1st Owner,Diesel,Manual,168380,559299,Noida
929,2016,Tata,Tata Tiago,1st Owner,Petrol,Manual,49812,367099,Noida
930,2015,Maruti,Maruti Ertiga,1st Owner,Petrol,Manual,43104,610899,Noida
931,2018,Tata,Tata Tiago,1st Owner,Petrol,Manual,37606,395699,Noida
932,2016,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Automatic,41586,409599,Noida
933,2016,Maruti,Maruti Celerio,1st Owner,CNG,Manual,68278,410699,Noida
934,2017,Maruti,Maruti Ciaz,1st Owner,Diesel,Manual,69995,629299,Noida
935,2013,Mahindra,Mahindra XUV500,1st Owner,Diesel,Manual,70708,599699,Noida
936,2018,Honda,Honda City,1st Owner,Petrol,Manual,37695,831899,Noida
937,2019,Tata,Tata Tiago,1st Owner,Petrol,Manual,32535,480499,Noida
938,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,18206,425099,Noida
939,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,89196,429099,Noida
940,2016,Maruti,Maruti Baleno,1st Owner,Petrol,Automatic,53256,568499,Noida
941,2018,Maruti,Maruti Wagon R 1.0,1st Owner,CNG,Manual,81282,433799,Noida
942,2017,Hyundai,Hyundai Elite i20,1st Owner,Petrol,Manual,32515,560099,Noida
943,2013,Ford,Ford Figo,1st Owner,Diesel,Manual,75454,201799,Noida
944,2016,Hyundai,Hyundai Creta,1st Owner,Diesel,Manual,95195,759899,Noida
945,2014,Maruti,Maruti Ritz,1st Owner,Diesel,Manual,70124,277699,Noida
946,2016,Skoda,Skoda Superb,3rd Owner,Petrol,Automatic,38718,1276499,Noida
947,2014,Honda,Honda Mobilio,1st Owner,Diesel,Manual,50873,542599,Noida
948,2015,Toyota,Toyota Fortuner,1st Owner,Diesel,Automatic,90313,1535299,Noida
949,2015,Hyundai,Hyundai Creta,1st Owner,Petrol,Manual,53083,802399,Noida
950,2015,Honda,Honda City,1st Owner,Diesel,Manual,81260,593199,Noida
951,2010,Honda,Honda City,1st Owner,Petrol,Manual,113701,288799,Noida
952,2021,Hyundai,Hyundai New i20,1st Owner,Petrol,Manual,1026,747999,Noida
953,2014,Hyundai,Hyundai Elite i20,1st Owner,Petrol,Manual,59832,500899,Noida
954,2015,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,60216,279799,Noida
955,2014,Hyundai,Hyundai Xcent,1st Owner,Petrol,Manual,42384,395899,Noida
956,2018,Ford,Ford Ecosport,2nd Owner,Diesel,Manual,52134,628299,Noida
957,2014,Mahindra,Mahindra Scorpio,3rd Owner,Diesel,Manual,45347,537999,Noida
958,2014,Hyundai,Hyundai Xcent,1st Owner,Petrol,Manual,63251,387299,Noida
959,2020,Hyundai,Hyundai Creta,1st Owner,Diesel,Manual,30097,993099,Noida
960,2016,Mahindra,Mahindra Scorpio,1st Owner,Diesel,Manual,32339,779599,Noida
961,2017,Tata,Tata TIGOR,1st Owner,Petrol,Manual,70895,448199,Noida
962,2013,Hyundai,Hyundai i20,1st Owner,Diesel,Manual,37840,353899,Noida
963,2012,Toyota,Toyota Etios Liva,2nd Owner,Petrol,Manual,44162,313599,Noida
964,2014,Volkswagen,Volkswagen Polo,2nd Owner,Petrol,Manual,11680,417599,Noida
965,2016,Nissan,Nissan Terrano,2nd Owner,Petrol,Manual,61139,551799,Noida
966,2018,Ford,Ford Freestyle,1st Owner,Petrol,Manual,43484,516899,Noida
967,2017,Mahindra,Mahindra Bolero,1st Owner,Diesel,Manual,95145,572399,Noida
968,2012,Hyundai,Hyundai i10,2nd Owner,Petrol,Manual,35522,270999,Noida
969,2018,Tata,Tata Nexon,1st Owner,Petrol,Manual,25903,666499,Noida
970,2017,Mahindra,Mahindra TUV300,1st Owner,Diesel,Manual,37328,691099,Noida
971,2017,BMW,BMW X1,1st Owner,Diesel,Automatic,47517,1802899,Noida
972,2017,Honda,Honda WR-V,1st Owner,Petrol,Manual,16683,798999,Noida
973,2018,Mahindra,Mahindra Thar,2nd Owner,Diesel,Manual,24191,740599,Noida
974,2020,Maruti,Maruti Swift,1st Owner,Petrol,Manual,4096,510499,Noida
975,2015,BMW,BMW 3 Series,2nd Owner,Diesel,Automatic,33958,1721299,Noida
976,2020,Mahindra,Mahindra XUV 3OO,1st Owner,Petrol,Manual,6573,798699,Noida
977,2020,Maruti,Maruti Alto,1st Owner,Petrol,Manual,11654,335999,Noida
